date,expected_GGR,was_interpolated,actual_GGR,is_missing,deviation,deviation_pct,day_of_week,is_weekend,is_anomaly,anomaly_score
2025-06-25,865859008.0,0,1080327826.89,0,214468818.8900001,24.769485205840823,Wednesday,0,0,0.38025418562878466
2025-06-26,195260752.0,0,-71157756.18000016,0,-266418508.18000016,-136.4424265763353,Thursday,0,0,0.41041243212678274
2025-06-27,183191840.0,0,-59166622.319999784,0,-242358462.31999978,-132.2976298070917,Friday,0,0,0.4040197454327476
2025-06-28,1280473344.0,0,1277580900.9099998,0,-2892443.0900001526,-0.2258885828083394,Saturday,1,0,0.392464496926089
2025-06-29,1021296256.0,0,1331933828.36,0,310637572.3599999,30.41601009844492,Sunday,1,0,0.4976251873324746
2025-06-30,566865472.0,0,612240796.7,0,45375324.70000005,8.00460196312681,Monday,0,0,0.33803922006468623
2025-07-01,1038359872.0,0,1421206412.9099998,0,382846540.90999985,36.870313581416966,Tuesday,0,0,0.44738564134340897
2025-07-02,484368096.0,0,311029479.55999994,0,-173338616.44000006,-35.786547023113606,Wednesday,0,0,0.366988140674665
2025-07-03,505091840.0,0,656753595.9699999,0,151661755.9699999,30.02657021146885,Thursday,0,0,0.37062970078228635
2025-07-04,661575296.0,0,225136721.80000037,0,-436438574.19999963,-65.9695996568771,Friday,0,0,0.4796658066282408
2025-07-05,-471950176.0,0,-668582696.4200003,0,-196632520.4200003,41.663830298052545,Saturday,1,0,0.49239754039831013
2025-07-06,710595904.0,0,851447647.0400001,0,140851743.04000008,19.821637339468833,Sunday,1,0,0.43171326007115773
2025-07-07,581616640.0,0,529219432.1400001,0,-52397207.859999895,-9.008890780703918,Monday,0,0,0.33812540115463924
2025-07-08,507564032.0,0,483217206.7100001,0,-24346825.289999902,-4.7967987790750115,Tuesday,0,0,0.3358288584176342
2025-07-09,326879936.0,0,179080362.37,0,-147799573.63,-45.21524797104708,Wednesday,0,0,0.3640707466604809
2025-07-10,326485056.0,0,154042453.78000003,0,-172442602.21999997,-52.817915874226095,Thursday,0,0,0.3706530489862225
2025-07-11,650724416.0,0,600911798.2299998,0,-49812617.77000022,-7.654948323008709,Friday,0,0,0.3369667003313371
2025-07-12,1400886784.0,0,1457379558.6999998,0,56492774.69999981,4.032643847113331,Saturday,1,0,0.39096115878069165
2025-07-13,706870720.0,0,652815461.3999997,0,-54055258.60000026,-7.647120904937223,Sunday,1,0,0.40737638774317414
2025-07-14,642426368.0,0,661967105.79,0,19540737.78999996,3.0417085542167475,Monday,0,0,0.3345169187785218
2025-07-15,946064320.0,0,753774819.6899999,0,-192289500.31000006,-20.325203714478953,Tuesday,0,0,0.37838384817419257
2025-07-16,739539968.0,0,989852438.75,0,250312470.75,33.84705108324855,Wednesday,0,0,0.4009393012591966
2025-07-17,1025269568.0,0,1212797456.18,0,187527888.18000007,18.290593423718988,Thursday,0,0,0.3661245866474284
2025-07-18,528236064.0,0,574264378.8699998,0,46028314.86999977,8.713588110863965,Friday,0,0,0.3393505164119059
2025-07-19,1175566464.0,0,1275009827.7700002,0,99443363.77000022,8.459186852917933,Saturday,1,0,0.3974481481177735
2025-07-20,466710464.0,0,73817016.04000008,0,-392893447.9599999,-84.1835523876319,Sunday,1,1,0.5746994267189095
2025-07-21,337173376.0,0,393839020.02,0,56665644.01999998,16.80608495612654,Monday,0,0,0.343669807696521
2025-07-22,412752608.0,0,323978499.40999985,0,-88774108.59000015,-21.507824994772694,Tuesday,0,0,0.3469679031140548
2025-07-23,654650304.0,0,742230037.29,0,87579733.28999996,13.37809403812634,Wednesday,0,0,0.34300006370684794
2025-07-24,1077143296.0,0,1062402701.02,0,-14740594.98000002,-1.3684896925729015,Thursday,0,0,0.33812904827091944
2025-07-25,545276992.0,0,580440645.2399998,0,35163653.23999977,6.448768929535133,Friday,0,0,0.3346673871190251
2025-07-26,1018418560.0,0,1055644328.2300004,0,37225768.23000038,3.6552523384884483,Saturday,1,0,0.39462535559862083
2025-07-27,447749312.0,0,-4866903.730000193,0,-452616215.7300002,-101.086970677467,Sunday,1,1,0.5893689196791216
2025-07-28,6550721.5,0,-102805711.99000008,0,-109356433.49000008,-1669.3799834109889,Monday,0,1,0.5835042733946979
2025-07-29,661468160.0,0,641689095.3600001,0,-19779064.639999866,-2.990176373719918,Tuesday,0,0,0.3363756937797503
2025-07-30,1131325696.0,0,1250252234.4399996,0,118926538.43999958,10.512139771993615,Wednesday,0,0,0.3526681394320144
2025-07-31,1099158656.0,0,1041126620.0799996,0,-58032035.920000434,-5.279677833879556,Thursday,0,0,0.3393077817936451
2025-08-01,545362624.0,0,427636632.3900004,0,-117725991.6099996,-21.586736316201897,Friday,0,0,0.35664823096447973
2025-08-02,1006577344.0,0,1052946659.7500004,0,46369315.75000036,4.606632170532974,Saturday,1,0,0.3944532931605851
2025-08-03,1387842816.0,0,1379565058.5000002,0,-8277757.499999762,-0.5964477680446315,Sunday,1,0,0.39140967948993144
2025-08-04,235503120.0,0,123165670.04999992,0,-112337449.95000008,-47.701045298253405,Monday,0,0,0.3613263491047775
2025-08-05,1702751616.0,0,2280950950.89,0,578199334.8899999,33.95676324467513,Tuesday,0,0,0.5392632068783226
2025-08-06,919374592.0,0,800259519.0800003,0,-119115072.91999972,-12.95609797752598,Wednesday,0,0,0.35693265717817013
2025-08-07,562304320.0,0,484002479.9699999,0,-78301840.03000009,-13.925171343161669,Thursday,0,0,0.34358719953299716
2025-08-08,981632640.0,0,1152250458.2799995,0,170617818.2799995,17.38102537829218,Friday,0,0,0.36745287286902883
2025-08-09,1809860608.0,0,1947011015.7600005,0,137150407.76000047,7.577954189055451,Saturday,1,0,0.4084219708992607
2025-08-10,1632616832.0,0,1795297913.6800003,0,162681081.6800003,9.964437367750984,Sunday,1,0,0.4175988980089894
2025-08-11,116650040.0,0,80937418.18000023,0,-35712621.81999977,-30.615181803623702,Monday,0,0,0.3507907758512316
2025-08-12,247434208.0,0,109839593.7100001,0,-137594614.2899999,-55.608565768723416,Tuesday,0,0,0.36511132168819144
2025-08-13,1038262592.0,0,1124308453.8099997,0,86045861.8099997,8.287485504437754,Wednesday,0,0,0.34090075985873947
2025-08-14,1074496896.0,0,1111737393.23,0,37240497.23000002,3.465854333189253,Thursday,0,0,0.332601565659397
2025-08-15,1172959232.0,0,1248606213.57,0,75646981.56999993,6.4492421821869375,Friday,0,0,0.33799217743583826
2025-08-16,-448364768.0,0,-746448526.4299995,0,-298083758.4299995,66.48242228301031,Saturday,1,0,0.5108663940903817
2025-08-17,625203968.0,0,510385059.9299997,0,-114818908.07000029,-18.365031885082388,Sunday,1,0,0.44063428934030807
2025-08-18,890159040.0,0,951289690.33,0,61130650.33000004,6.867385218039244,Monday,0,0,0.33570892753734716
2025-08-19,1088800512.0,0,1161488232.5,0,72687720.5,6.675944739085502,Tuesday,0,0,0.33798432287239183
2025-08-20,693792128.0,0,428218863.3499999,0,-265573264.6500001,-38.27850647651051,Wednesday,0,0,0.40758086771527424
2025-08-21,491612608.0,0,500261161.36999995,0,8648553.369999945,1.7592212301438666,Thursday,0,0,0.3327832663081962
2025-08-22,857748480.0,0,800961301.1299998,0,-56787178.87000024,-6.6204930925672105,Friday,0,0,0.3384447322876929
2025-08-23,3224904192.0,0,3395858724.3999996,0,170954532.39999962,5.301073217123332,Saturday,1,0,0.4365017046257378
2025-08-24,2558526464.0,0,3016982568.4500003,0,458456104.4500003,17.918755615810596,Sunday,1,1,0.573126717512487
2025-08-25,-183757696.0,0,-454160385.85999954,0,-270402689.85999954,147.15176329812033,Monday,0,0,0.43792316825606437
2025-08-26,1161763456.0,0,1162030556.76,0,267100.75999999046,0.022990976228468185,Tuesday,0,0,0.3343030801934817
2025-08-27,1549352576.0,0,1635391079.7499998,0,86038503.74999976,5.553190738038942,Wednesday,0,0,0.3465758348267092
2025-08-28,1184396160.0,0,1268729091.54,0,84332931.53999996,7.120331388105814,Thursday,0,0,0.3446153942124371
2025-08-29,788873856.0,0,771937722.0800002,0,-16936133.919999838,-2.1468747875452268,Friday,0,0,0.33520155326406814
2025-08-30,4098088448.0,0,4279499381.92,0,181410933.92000008,4.4267208046359885,Saturday,1,0,0.4608091763036903
2025-08-31,2677797376.0,0,2897723132.9599996,0,219925756.95999956,8.212934964053066,Sunday,1,0,0.4457814940995015
2025-09-01,53498144.0,0,200346291.7899999,0,146848147.7899999,274.49204179868354,Monday,0,0,0.48130570727684413
2025-09-02,-41801996.0,0,-121755418.69,0,-79953422.69,191.26699760939644,Tuesday,0,0,0.40290385492986097
2025-09-03,797278272.0,0,819463285.56,0,22185013.559999943,2.7825935233815007,Wednesday,0,0,0.33164247661045326
